DATE,QSA_Ramp
9/05/1901,30000
10/05/1901,30000
11/05/1901,30000
12/05/1901,30000
13/05/1901,30000
14/05/1901,30000
15/05/1901,30000
16/05/1901,30000
17/05/1901,30000
18/05/1901,30000
19/05/1901,30000
20/05/1901,30000
21/05/1901,30000
22/05/1901,30000
23/05/1901,30000
24/05/1901,30000
25/05/1901,30000
26/05/1901,30000
27/05/1901,30000
28/05/1901,30000
29/05/1901,30000
30/05/1901,30000
31/05/1901,30000
1/06/1901,30000
2/06/1901,30000
3/06/1901,30000
4/06/1901,30000
5/06/1901,30000
6/06/1901,30000
7/06/1901,30000
8/06/1901,30000
9/06/1901,30000
10/06/1901,30000
11/06/1901,30000
12/06/1901,30000
13/06/1901,30000
14/06/1901,30000
15/06/1901,30000
16/06/1901,30000
17/06/1901,30000
18/06/1901,30000
19/06/1901,30000
20/06/1901,30000
21/06/1901,30000
22/06/1901,30000
23/06/1901,30000
24/06/1901,30000
25/06/1901,35000
26/06/1901,35000
27/06/1901,35000
28/06/1901,35000
29/06/1901,35000
30/06/1901,35000
1/07/1901,35000
2/07/1901,35000
3/07/1901,35000
4/07/1901,35000
5/07/1901,35000
6/07/1901,35000
7/07/1901,35000
8/07/1901,35000
9/07/1901,35000
10/07/1901,35000
11/07/1901,35000
12/07/1901,35000
13/07/1901,35000
14/07/1901,35000
15/07/1901,35000
16/07/1901,35000
17/07/1901,35000
18/07/1901,35000
19/07/1901,35000
20/07/1901,35000
21/07/1901,35000
22/07/1901,35000
23/07/1901,35000
24/07/1901,35000
25/07/1901,35000
26/07/1901,35000
27/07/1901,35000
28/07/1901,35000
29/07/1901,35000
30/07/1901,35000
31/07/1901,35000
1/08/1901,35000
2/08/1901,35000
3/08/1901,35000
4/08/1901,35000
5/08/1901,35000
6/08/1901,35000
7/08/1901,35000
8/08/1901,35000
9/08/1901,35000
10/08/1901,35000
11/08/1901,35000
12/08/1901,35000
13/08/1901,35000
14/08/1901,35000
15/08/1901,35000
16/08/1901,35000
17/08/1901,35000
18/08/1901,35000
19/08/1901,35000
20/08/1901,35000
21/08/1901,35000
22/08/1901,35000
23/08/1901,35000
24/08/1901,35000
25/08/1901,35000
26/08/1901,35000
27/08/1901,35000
28/08/1901,35000
29/08/1901,35000
30/08/1901,35000
31/08/1901,35000
1/09/1901,35000
2/09/1901,35000
3/09/1901,35000
4/09/1901,35000
5/09/1901,35000
6/09/1901,35000
7/09/1901,35000
8/09/1901,35000
9/09/1901,35000
10/09/1901,35000
11/09/1901,35000
12/09/1901,35000
13/09/1901,35000
14/09/1901,35000
15/09/1901,35000
16/09/1901,35000
17/09/1901,35000
18/09/1901,35000
19/09/1901,35000
20/09/1901,35000
21/09/1901,35000
22/09/1901,35000
23/09/1901,40000
24/09/1901,40000
25/09/1901,40000
26/09/1901,40000
27/09/1901,40000
28/09/1901,40000
29/09/1901,40000
30/09/1901,40000
1/10/1901,40000
2/10/1901,40000
3/10/1901,40000
4/10/1901,40000
5/10/1901,40000
6/10/1901,40000
7/10/1901,40000
8/10/1901,40000
9/10/1901,40000
10/10/1901,40000
11/10/1901,40000
12/10/1901,40000
13/10/1901,40000
14/10/1901,40000
15/10/1901,40000
16/10/1901,40000
17/10/1901,40000
18/10/1901,40000
19/10/1901,40000
20/10/1901,40000
21/10/1901,40000
22/10/1901,40000
23/10/1901,40000
24/10/1901,40000
25/10/1901,40000
26/10/1901,40000
27/10/1901,40000
28/10/1901,40000
29/10/1901,40000
30/10/1901,40000
31/10/1901,40000
1/11/1901,40000
2/11/1901,40000
3/11/1901,40000
4/11/1901,40000
5/11/1901,40000
6/11/1901,40000
7/11/1901,40000
8/11/1901,40000
9/11/1901,40000
10/11/1901,40000
11/11/1901,40000
12/11/1901,40000
13/11/1901,40000
14/11/1901,40000
15/11/1901,40000
16/11/1901,40000
17/11/1901,40000
18/11/1901,40000
19/11/1901,40000
20/11/1901,40000
21/11/1901,40000
22/11/1901,40000
23/11/1901,40000
24/11/1901,40000
25/11/1901,40000
26/11/1901,40000
27/11/1901,40000
28/11/1901,40000
29/11/1901,40000
30/11/1901,40000
1/12/1901,40000
2/12/1901,40000
3/12/1901,40000
4/12/1901,40000
5/12/1901,40000
6/12/1901,40000
7/12/1901,40000
8/12/1901,40000
9/12/1901,40000
10/12/1901,40000
11/12/1901,40000
12/12/1901,40000
13/12/1901,40000
14/12/1901,40000
15/12/1901,40000
16/12/1901,40000
17/12/1901,40000
18/12/1901,40000
19/12/1901,40000
20/12/1901,40000
21/12/1901,40000
22/12/1901,45000
23/12/1901,45000
24/12/1901,45000
25/12/1901,45000
26/12/1901,45000
27/12/1901,45000
28/12/1901,45000
29/12/1901,45000
30/12/1901,45000
31/12/1901,45000
1/01/1902,45000
2/01/1902,45000
3/01/1902,45000
4/01/1902,45000
5/01/1902,45000
6/01/1902,45000
7/01/1902,45000
8/01/1902,45000
9/01/1902,45000
10/01/1902,45000
11/01/1902,45000
12/01/1902,45000
13/01/1902,45000
14/01/1902,45000
15/01/1902,45000
16/01/1902,45000
17/01/1902,45000
18/01/1902,45000
19/01/1902,45000
20/01/1902,45000
21/01/1902,45000
22/01/1902,45000
23/01/1902,45000
24/01/1902,45000
25/01/1902,45000
26/01/1902,45000
27/01/1902,45000
28/01/1902,45000
29/01/1902,45000
30/01/1902,45000
31/01/1902,45000
1/02/1902,45000
2/02/1902,45000
3/02/1902,45000
4/02/1902,45000
5/02/1902,45000
6/02/1902,45000
7/02/1902,45000
8/02/1902,45000
9/02/1902,45000
10/02/1902,45000
11/02/1902,45000
12/02/1902,45000
13/02/1902,45000
14/02/1902,45000
15/02/1902,45000
16/02/1902,45000
17/02/1902,45000
18/02/1902,45000
19/02/1902,45000
20/02/1902,45000
21/02/1902,45000
22/02/1902,45000
23/02/1902,45000
24/02/1902,45000
25/02/1902,45000
26/02/1902,45000
27/02/1902,45000
28/02/1902,45000
1/03/1902,45000
2/03/1902,45000
3/03/1902,45000
4/03/1902,45000
5/03/1902,45000
6/03/1902,45000
7/03/1902,45000
8/03/1902,45000
