Date,Scenario A,Scenario B,Scenario C,Scenario D,Scenario E,Scenario F,Scenario G,Scenario H,Scenario I,Scenario J,Scenario K,Scenario L,Scenario M,Scenario N,Scenario O,Scenario P
28/10/2017,12290,12290,12290,12290,12290,12290,12329,12652,17100,17116,17155,12690,12652,17516,12652,12690
29/10/2017,12290,12290,12290,12290,12290,12290,12329,12652,17100,17116,17155,12690,12652,17516,12652,12690
30/10/2017,12290,12290,12290,12290,12290,12290,12329,12652,17100,17116,17155,12690,12652,17516,12652,12690
31/10/2017,12290,12290,12290,12290,12290,12290,12329,12652,17100,17116,17155,12690,12652,17516,12652,12690
1/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
2/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
3/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
4/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
5/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
6/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
7/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
8/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
9/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
10/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
11/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
12/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
13/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
14/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
15/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
16/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
17/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
18/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
19/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
20/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
21/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
22/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
23/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
24/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
25/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
26/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
27/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
28/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
29/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
30/11/2017,13733,13733,13733,13733,13733,13733,13733,13890,17100,17083,17083,13670,13890,17240,13890,13513
1/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
2/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
3/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
4/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
5/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
6/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
7/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
8/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
9/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
