Date,CR,L6,Pike,L5,Kat,L4
5/08/2017,16.45,19.25,15.21071429,16.8,11.41346154,13.8
6/08/2017,16.45,19.25,15.2547619,16.8,11.48076923,13.8
7/08/2017,16.45,19.25,15.29880952,16.8,11.54807692,13.8
8/08/2017,16.45,19.25,15.34285714,16.8,11.61538462,13.8
9/08/2017,16.45,19.25,15.38690476,16.8,11.68269231,13.8
10/08/2017,16.45,19.25,15.43095238,16.8,11.75,13.8
11/08/2017,16.45,19.25,15.475,16.8,11.81730769,13.8
12/08/2017,16.45,19.25,15.51904762,16.8,11.88461538,13.8
13/08/2017,16.45,19.25,15.56309524,16.8,11.95192308,13.8
14/08/2017,16.45,19.25,15.60714286,16.8,12.01923077,13.8
15/08/2017,16.45,19.25,15.65119048,16.8,12.08653846,13.8
16/08/2017,16.45,19.25,15.6952381,16.8,12.15384615,13.8
17/08/2017,16.56032258,19.25,15.73928571,16.8,12.22115385,13.8
18/08/2017,16.67064516,19.25,15.78333333,16.8,12.28846154,13.8
19/08/2017,16.78096774,19.25,15.82738095,16.8,12.35576923,13.8
20/08/2017,16.89129032,19.25,15.87142857,16.8,12.42307692,13.8
21/08/2017,17.0016129,19.25,15.91547619,16.8,12.49038462,13.8
22/08/2017,17.11193548,19.25,15.95952381,16.8,12.55769231,13.8
23/08/2017,17.22225806,19.25,16.00357143,16.8,12.625,13.8
24/08/2017,17.33258065,19.25,16.04761905,16.8,12.69230769,13.8
25/08/2017,17.44290323,19.25,16.09166667,16.8,12.75961538,13.8
26/08/2017,17.55322581,19.25,16.13571429,16.8,12.82692308,13.8
27/08/2017,17.66354839,19.25,16.1797619,16.8,12.89423077,13.8
28/08/2017,17.77387097,19.25,16.22380952,16.8,12.96153846,13.8
29/08/2017,17.88419355,19.31363636,16.26785714,16.8,13.02884615,13.8
30/08/2017,17.99451613,19.37727273,16.31190476,16.8,13.09615385,13.8
31/08/2017,18.10483871,19.44090909,16.35595238,16.8,13.16346154,13.8
1/09/2017,18.21516129,19.50454545,16.4,16.8,13.23076923,13.8
2/09/2017,18.32548387,19.56818182,16.4,16.8,13.29807692,13.8
3/09/2017,18.43580645,19.63181818,16.4,16.8,13.36538462,13.8
4/09/2017,18.54612903,19.69545455,16.4,16.8,13.43269231,13.8
5/09/2017,18.65645161,19.75909091,16.4,16.8,13.5,13.8
6/09/2017,18.76677419,19.82272727,16.4,16.8,13.5,13.8
7/09/2017,18.87709677,19.88636364,16.4,16.8,13.5,13.8
8/09/2017,18.98741935,19.95,16.4,16.8,13.5,13.8
9/09/2017,19.09774194,19.95,16.4,16.8,13.5,13.8
10/09/2017,19.20806452,19.95,16.4,16.8,13.5,13.8
11/09/2017,19.3183871,19.95,16.4,16.8,13.5,13.8
12/09/2017,19.42870968,19.95,16.4,16.8,13.5,13.8
13/09/2017,19.53903226,19.95,16.4,16.8,13.5,13.8
14/09/2017,19.64935484,19.95,16.4,16.8,13.5,13.8
15/09/2017,19.75967742,19.95,16.4,16.8,13.5,13.8
16/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
17/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
18/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
19/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
20/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
21/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
22/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
23/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
24/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
25/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
26/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
27/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
28/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
29/09/2017,19.87,19.95,16.4,16.8,13.5,13.8
30/09/2017,19.87,19.95,16.31190476,16.8,13.5,13.8
1/10/2017,19.87,19.95,16.22380952,16.8,13.5,13.8
2/10/2017,19.87,19.95,16.13571429,16.8,13.5,13.8
3/10/2017,19.87,19.95,16.04761905,16.8,13.5,13.8
4/10/2017,19.87,19.95,15.95952381,16.8,13.45731707,13.8
5/10/2017,19.87,19.95,15.87142857,16.8,13.41463415,13.8
6/10/2017,19.87,19.95,15.78333333,16.8,13.37195122,13.8
7/10/2017,19.87,19.95,15.6952381,16.8,13.32926829,13.8
8/10/2017,19.87,19.95,15.60714286,16.8,13.28658537,13.8
9/10/2017,19.87,19.95,15.51904762,16.8,13.24390244,13.8
10/10/2017,19.87,19.95,15.43095238,16.8,13.20121951,13.8
11/10/2017,19.87,19.95,15.34285714,16.8,13.15853659,13.8
12/10/2017,19.87,19.95,15.2547619,16.8,13.11585366,13.8
13/10/2017,19.87,19.95,15.16666667,16.8,13.07317073,13.8
14/10/2017,19.87,19.95,15.07857143,16.8,13.0304878,13.8
15/10/2017,19.87,19.95,14.99047619,16.8,12.98780488,13.8
16/10/2017,19.87,19.95,14.90238095,16.8,12.94512195,13.8
17/10/2017,19.87,19.95,14.81428571,16.8,12.90243902,13.8
18/10/2017,19.87,19.95,14.72619048,16.8,12.8597561,13.8
19/10/2017,19.87,19.95,14.63809524,16.775,12.81707317,13.8
