Date,Lock6,Lock5,Lock4,Lock3,Lock2,Lock1,Chowilla
30/03/1997,19.3027,16.31573333,13.21966667,9.830266667,6.130433333,3.243433333,16.4
31/03/1997,19.30333333,16.31616667,13.2201,9.829633333,6.128733333,3.2419,16.4
1/04/1997,19.30376667,16.31726667,13.2208,9.829466667,6.127733333,3.240833333,16.4
2/04/1997,19.30426667,16.31883333,13.22176667,9.830066667,6.129233333,3.240033333,16.4
3/04/1997,19.30413333,16.32013333,13.2227,9.830733333,6.1314,3.240166667,16.4
4/04/1997,19.3032,16.32103333,13.2234,9.831333333,6.134133333,3.2411,16.4
5/04/1997,19.30213333,16.32143333,13.22373333,9.831633333,6.136066667,3.242166667,16.4
6/04/1997,19.3009,16.32163333,13.2228,9.8316,6.137333333,3.243466667,16.4
7/04/1997,19.29986667,16.3214,13.22143333,9.831166667,6.137833333,3.244733333,16.4
8/04/1997,19.29886667,16.32143333,13.21993333,9.8302,6.137433333,3.245566667,16.4
9/04/1997,19.29786667,16.32173333,13.21903333,9.8292,6.136366667,3.245633333,16.4
10/04/1997,19.2968,16.32206667,13.21873333,9.828266667,6.135266667,3.245633333,16.4
11/04/1997,19.29543333,16.3224,13.2187,9.8275,6.136266667,3.245633333,16.4
12/04/1997,19.29386667,16.32266667,13.21863333,9.8266,6.1383,3.2457,16.4
13/04/1997,19.29243333,16.3227,13.21833333,9.8259,6.141,3.246066667,16.4
14/04/1997,19.29073333,16.32263333,13.21786667,9.825233333,6.1441,3.2467,16.4
15/04/1997,19.28883333,16.32233333,13.217,9.8245,6.147066667,3.247366667,16.4
16/04/1997,19.2872,16.32206667,13.2163,9.823533333,6.1474,3.247966667,16.4
17/04/1997,19.2859,16.32203333,13.2157,9.822533333,6.146233333,3.248333333,16.4
18/04/1997,19.28493333,16.3221,13.2154,9.821533333,6.144333333,3.248466667,16.4
19/04/1997,19.28416667,16.32233333,13.21536667,9.8206,6.143733333,3.247866667,16.4
20/04/1997,19.28333333,16.32236667,13.21536667,9.8199,6.144133333,3.247266667,16.4
21/04/1997,19.2829,16.32243333,13.21536667,9.8193,6.1451,3.2469,16.4
22/04/1997,19.28226667,16.32273333,13.21536667,9.819,6.1461,3.246566667,16.4
23/04/1997,19.28166667,16.32313333,13.21536667,9.818966667,6.146733333,3.2463,16.4
24/04/1997,19.28123333,16.3237,13.21536667,9.818966667,6.146066667,3.246333333,16.4
25/04/1997,19.2806,16.32393333,13.21536667,9.8189,6.146266667,3.2465,16.4
26/04/1997,19.2798,16.32363333,13.21536667,9.818733333,6.1473,3.246333333,16.4
27/04/1997,19.2785,16.32336667,13.21536667,9.819,6.1475,3.246566667,16.4
28/04/1997,19.27716667,16.32326667,13.21536667,9.819266667,6.147033333,3.2466,16.4
29/04/1997,19.27583333,16.32296667,13.21536667,9.8193,6.146866667,3.246533333,16.4
30/04/1997,19.2745,16.32263333,13.2153,9.8193,6.146366667,3.246166667,16.4
1/05/1997,19.2731,16.32216667,13.21493333,9.819233333,6.146133333,3.245533333,16.4
2/05/1997,19.27153333,16.3212,13.21423333,9.818933333,6.145333333,3.244733333,16.4
3/05/1997,19.27066667,16.3204,13.2132,9.818733333,6.1449,3.243366667,16.4
4/05/1997,19.2718,16.3204,13.21196667,9.818933333,6.1442,3.241733333,16.4
5/05/1997,19.27313333,16.3207,13.21126667,9.819033333,6.1433,3.240066667,16.4
6/05/1997,19.27406667,16.32116667,13.21186667,9.8194,6.142533333,3.2384,16.4
7/05/1997,19.2734,16.32193333,13.21283333,9.820166667,6.141766667,3.236733333,16.4
8/05/1997,19.2721,16.32193333,13.2137,9.8214,6.141766667,3.2352,16.4
9/05/1997,19.27076667,16.32156667,13.21386667,9.8225,6.142266667,3.234033333,16.4
10/05/1997,19.26936667,16.32093333,13.21313333,9.823666667,6.143133333,3.2324,16.4
11/05/1997,19.26773333,16.32026667,13.21186667,9.824333333,6.142466667,3.230733333,16.4
12/05/1997,19.26613333,16.3196,13.21053333,9.824566667,6.140933333,3.229,16.4
13/05/1997,19.2649,16.31886667,13.2092,9.824166667,6.138233333,3.2271,16.4
14/05/1997,19.26423333,16.31803333,13.20793333,9.8233,6.134766667,3.225366667,16.4
15/05/1997,19.26386667,16.31763333,13.20696667,9.8226,6.131033333,3.2234,16.4
16/05/1997,19.26346667,16.3173,13.20626667,9.821933333,6.129566667,3.221466667,16.4
17/05/1997,19.26283333,16.31696667,13.20553333,9.821266667,6.130033333,3.219833333,16.4
18/05/1997,19.2621,16.31663333,13.2045,9.820533333,6.131333333,3.218733333,16.4
19/05/1997,19.2612,16.31636667,13.2032,9.819566667,6.131633333,3.218566667,16.4
20/05/1997,19.2605,16.31633333,13.20193333,9.8185,6.131133333,3.2182,16.4
21/05/1997,19.26023333,16.31633333,13.2011,9.817266667,6.129933333,3.217566667,16.4
22/05/1997,19.26136667,16.31646667,13.2013,9.8163,6.128866667,3.216966667,16.4
23/05/1997,19.26206667,16.31676667,13.20253333,9.815866667,6.127533333,3.2164,16.4
24/05/1997,19.26153333,16.31593333,13.2038,9.8165,6.126866667,3.215066667,16.4
25/05/1997,19.26093333,16.3153,13.20496667,9.817733333,6.129033333,3.213833333,16.4
26/05/1997,19.26043333,16.31506667,13.20646667,9.819966667,6.1331,3.214233333,16.4
27/05/1997,19.2596,16.31543333,13.2072,9.821933333,6.137333333,3.215633333,16.4
28/05/1997,19.2593,16.316,13.2067,9.822266667,6.138866667,3.217366667,16.4
29/05/1997,19.2592,16.31636667,13.20636667,9.821733333,6.1397,3.218633333,16.4
30/05/1997,19.2589,16.3167,13.20616667,9.8201,6.139833333,3.220366667,16.4
31/05/1997,19.25856667,16.31703333,13.20643333,9.8182,6.140133333,3.2213,16.4
1/06/1997,19.2583,16.31736667,13.20683333,9.8165,6.140466667,3.2216,16.4
2/06/1997,19.25803333,16.31763333,13.2076,9.814766667,6.1408,3.221633333,16.4
3/06/1997,19.2566,16.31756667,13.2088,9.812666667,6.1412,3.2215,16.4
4/06/1997,19.2546,16.31733333,13.2097,9.810366667,6.1417,3.221133333,16.4
5/06/1997,19.25403333,16.3173,13.20996667,9.809233333,6.142066667,3.221633333,16.4
6/06/1997,19.25616667,16.31776667,13.21,9.808433333,6.1432,3.222166667,16.4
7/06/1997,19.26093333,16.32006667,13.21146667,9.8085,6.143,3.223433333,16.4
8/06/1997,19.2658,16.32306667,13.2141,9.8091,6.1426,3.2249,16.4
9/06/1997,19.27006667,16.32643333,13.21713333,9.8099,6.141966667,3.226866667,16.4
10/06/1997,19.27343333,16.32986667,13.22043333,9.8113,6.141433333,3.228866667,16.4
11/06/1997,19.2753,16.33233333,13.2237,9.8133,6.141533333,3.231,16.4
12/06/1997,19.27593333,16.3337,13.2266,9.815533333,6.1422,3.233433333,16.4
13/06/1997,19.2762,16.3347,13.22873333,9.817533333,6.1431,3.2353,16.4
