Date,Chowilla_Mid,Lock 6
1/02/2018,16.45,19.25
2/02/2018,16.45,19.25
3/02/2018,16.45,19.25
4/02/2018,16.45,19.25
5/02/2018,16.45,19.25
6/02/2018,16.45,19.25
7/02/2018,16.45,19.25
8/02/2018,16.45,19.25
9/02/2018,16.45,19.25
10/02/2018,16.45,19.25
11/02/2018,16.45,19.25
12/02/2018,16.45,19.25
13/02/2018,16.45,19.25
14/02/2018,16.45,19.25
15/02/2018,16.45,19.25
16/02/2018,16.45,19.25
17/02/2018,16.45,19.25
18/02/2018,16.45,19.25
19/02/2018,16.45,19.25
20/02/2018,16.45,19.25
21/02/2018,16.45,19.25
22/02/2018,16.45,19.25
23/02/2018,16.45,19.25
24/02/2018,16.45,19.25
25/02/2018,16.45,19.25
26/02/2018,16.45,19.25
27/02/2018,16.45,19.25
28/02/2018,16.45,19.25
1/03/2018,16.45,19.25
2/03/2018,16.45,19.25
3/03/2018,16.45,19.25
4/03/2018,16.45,19.25
5/03/2018,16.45,19.25
6/03/2018,16.45,19.25
7/03/2018,16.45,19.25
8/03/2018,16.45,19.25
9/03/2018,16.45,19.25
10/03/2018,16.45,19.25
11/03/2018,16.45,19.25
12/03/2018,16.45,19.25
13/03/2018,16.45,19.25
14/03/2018,16.45,19.25
15/03/2018,16.45,19.25
16/03/2018,16.45,19.25
17/03/2018,16.45,19.25
18/03/2018,16.45,19.25
19/03/2018,16.45,19.25
20/03/2018,16.45,19.25
21/03/2018,16.45,19.25
22/03/2018,16.45,19.25
23/03/2018,16.45,19.25
24/03/2018,16.45,19.25
25/03/2018,16.45,19.25
26/03/2018,16.45,19.25
27/03/2018,16.45,19.25
28/03/2018,16.45,19.25
29/03/2018,16.45,19.25
30/03/2018,16.45,19.25
31/03/2018,16.45,19.25
1/04/2018,16.45,19.25
2/04/2018,16.45,19.25
3/04/2018,16.45,19.25
4/04/2018,16.45,19.25
5/04/2018,16.45,19.25
6/04/2018,16.45,19.25
7/04/2018,16.45,19.25
8/04/2018,16.45,19.25
9/04/2018,16.45,19.25
10/04/2018,16.45,19.25
11/04/2018,16.45,19.25
12/04/2018,16.45,19.25
13/04/2018,16.45,19.25
14/04/2018,16.45,19.25
15/04/2018,16.45,19.25
16/04/2018,16.45,19.25
17/04/2018,16.45,19.25
18/04/2018,16.45,19.25
19/04/2018,16.45,19.25
20/04/2018,16.45,19.25
21/04/2018,16.45,19.25
22/04/2018,16.45,19.25
23/04/2018,16.45,19.25
24/04/2018,16.45,19.25
25/04/2018,16.45,19.25
26/04/2018,16.45,19.25
27/04/2018,16.45,19.25
28/04/2018,16.45,19.25
29/04/2018,16.45,19.25
30/04/2018,16.45,19.25
1/05/2018,16.45,19.25
2/05/2018,16.45,19.25
3/05/2018,16.45,19.25
4/05/2018,16.45,19.25
5/05/2018,16.45,19.25
6/05/2018,16.45,19.25
7/05/2018,16.45,19.25
8/05/2018,16.45,19.25
9/05/2018,16.45,19.25
10/05/2018,16.45,19.25
11/05/2018,16.45,19.25
12/05/2018,16.45,19.25
13/05/2018,16.45,19.25
14/05/2018,16.45,19.25
15/05/2018,16.45,19.25
16/05/2018,16.45,19.25
17/05/2018,16.45,19.25
18/05/2018,16.45,19.25
19/05/2018,16.45,19.25
20/05/2018,16.45,19.25
21/05/2018,16.45,19.25
22/05/2018,16.45,19.25
23/05/2018,16.45,19.25
24/05/2018,16.45,19.25
25/05/2018,16.45,19.25
26/05/2018,16.45,19.25
27/05/2018,16.45,19.25
28/05/2018,16.45,19.25
29/05/2018,16.45,19.25
30/05/2018,16.45,19.25
31/05/2018,16.45,19.25
1/06/2018,16.45,19.25
2/06/2018,16.45,19.25
3/06/2018,16.45,19.25
4/06/2018,16.45,19.25
5/06/2018,16.45,19.25
6/06/2018,16.45,19.25
7/06/2018,16.45,19.25
8/06/2018,16.45,19.25
9/06/2018,16.45,19.25
10/06/2018,16.45,19.25
11/06/2018,16.45,19.25
12/06/2018,16.45,19.25
13/06/2018,16.45,19.25
14/06/2018,16.45,19.25
15/06/2018,16.45,19.25
16/06/2018,16.45,19.25
17/06/2018,16.45,19.25
18/06/2018,16.45,19.25
19/06/2018,16.45,19.25
20/06/2018,16.45,19.25
21/06/2018,16.45,19.25
22/06/2018,16.45,19.25
23/06/2018,16.45,19.25
24/06/2018,16.45,19.25
25/06/2018,16.45,19.25
26/06/2018,16.45,19.25
27/06/2018,16.45,19.25
28/06/2018,16.45,19.25
29/06/2018,16.45,19.25
30/06/2018,16.45,19.25
