Date,SA Only_ Ops - Daily Total Barrage Released (ML.day^-1)
2015-08-29,2555.2800000000002
2015-08-30,2663.23
2015-08-31,2627.2199999999998
2015-09-01,4391.0500000000002
2015-09-02,2609.48
2015-09-03,3299.71
2015-09-04,2598.4299999999998
2015-09-05,2943.0300000000002
2015-09-06,2567.5599999999999
2015-09-07,2493.3699999999999
2015-09-08,2914.6199999999999
2015-09-09,3513.3699999999999
2015-09-10,4013.3699999999999
2015-09-11,6133.5299999999997
2015-09-12,6905.1899999999996
2015-09-13,7201.2399999999998
2015-09-14,6088.3500000000004
2015-09-15,3962.4200000000001
2015-09-16,3605.1599999999999
2015-09-17,3236.71
2015-09-18,3893.1500000000001
2015-09-19,4150.8100000000004
2015-09-20,4062.54
2015-09-21,2554.23
2015-09-22,3142.0799999999999
2015-09-23,3707.6999999999998
2015-09-24,3792.2600000000002
2015-09-25,3412.6900000000001
2015-09-26,2882.3000000000002
2015-09-27,2845.48
2015-09-28,2604.77
2015-09-29,2664.1900000000001
2015-09-30,2852.9200000000001
2015-10-01,2776.0799999999999
2015-10-02,2983.1999999999998
2015-10-03,2876.1199999999999
2015-10-04,2715.6900000000001
2015-10-05,2998.5500000000002
2015-10-06,2073.3000000000002
2015-10-07,2462.9299999999998
2015-10-08,2926.4699999999998
2015-10-09,2886.6599999999999
2015-10-10,2763.3699999999999
2015-10-11,2556.2199999999998
2015-10-12,2593.8699999999999
2015-10-13,2439.7399999999998
2015-10-14,2108.02
2015-10-15,2078.3600000000001
2015-10-16,1909.3699999999999
2015-10-17,1888.1800000000001
2015-10-18,2057.52
2015-10-19,2130.6500000000001
2015-10-20,2010.4300000000001
2015-10-21,1420.6600000000001
2015-10-22,1849.03
2015-10-23,2125.8299999999999
2015-10-24,2220.6199999999999
2015-10-25,1724.6700000000001
2015-10-26,1623.2
2015-10-27,2071.1300000000001
2015-10-28,1991.5
2015-10-29,1971.3699999999999
2015-10-30,1958.9300000000001
2015-10-31,1994.1800000000001
2015-11-01,1927.3599999999999
2015-11-02,2241.7199999999998
2015-11-03,2576.8200000000002
2015-11-04,2675.8600000000001
2015-11-05,2093.5
2015-11-06,2247.9699999999998
2015-11-07,2591.54
2015-11-08,2721.6100000000001
2015-11-09,2514.5599999999999
2015-11-10,2355.1900000000001
2015-11-11,2655.7600000000002
2015-11-12,3559.3800000000001
2015-11-13,3152.5599999999999
2015-11-14,2358.79
2015-11-15,2434.9200000000001
2015-11-16,2551.8299999999999
2015-11-17,2108.8000000000002
2015-11-18,1600.1400000000001
2015-11-19,1514.0699999999999
2015-11-20,1311.76
2015-11-21,1389
2015-11-22,1434.3099999999999
2015-11-23,1345.98
2015-11-24,1503.3800000000001
2015-11-25,880.88
2015-11-26,120.81999999999999
2015-11-27,340.41000000000003
2015-11-28,375.44999999999999
2015-11-29,392.44999999999999
2015-11-30,72.900000000000006
2015-12-01,33.460000000000001
2015-12-02,60.979999999999997
2015-12-03,86.569999999999993
2015-12-04,80.239999999999995
2015-12-05,78.629999999999995
2015-12-06,76.480000000000004
2015-12-07,81.650000000000006
2015-12-08,46.640000000000001
2015-12-09,48.5
2015-12-10,53.32
2015-12-11,23.890000000000001
2015-12-12,61.030000000000001
2015-12-13,64.269999999999996
2015-12-14,51.240000000000002
2015-12-15,59.469999999999999
2015-12-16,57.880000000000003
2015-12-17,56.670000000000002
2015-12-18,38.020000000000003
2015-12-19,62.030000000000001
2015-12-20,19.469999999999999
2015-12-21,42.140000000000001
2015-12-22,44.920000000000002
2015-12-23,39.420000000000002
2015-12-24,52.030000000000001
2015-12-25,41.219999999999999
2015-12-26,6.6900000000000004
2015-12-27,34.390000000000001
2015-12-28,34.310000000000002
2015-12-29,33.859999999999999
